EmissionDecile,RefWithRecircIndoorFrac,RefWithRecircOutdoorFrac,RefNoRecircIndoorFrac,RefNoRecircOutdoorFrac,IntEEWithRecircIndoorFrac,IntEEWithRecircOutdoorFrac,IntEENoRecircIndoorFrac,IntEENoRecircOutdoorFrac,OptEEWithRecircIndoorFrac,OptEEWithRecircOutdoorFrac,OptEENoRecircIndoorFrac,OptEENoRecircOutdoorFrac
5,0.0409032614879256,0.959096738512074,0.0409053111893075,0.959094688810692,0.0452760672449812,0.954723932755019,0.0454877611508204,0.95451223884918,0.0477890756364008,0.952210924363599,0.0476649422822028,0.952335057717797
15,0.0755549706447869,0.924445029355213,0.0754170490987402,0.92458295090126,0.0835132989314888,0.916486701068511,0.083329650152374,0.916670349847626,0.0873479732667213,0.912652026733279,0.0871584869044777,0.912841513095522
25,0.0956694062731771,0.904330593726823,0.0956709148636351,0.904329085136365,0.106305972247392,0.893694027752608,0.105308136385616,0.894691863614384,0.110328141319678,0.889671858680322,0.110362591067784,0.889637408932216
35,0.113662012277528,0.886337987722472,0.114352891463325,0.885647108536675,0.125970998136071,0.874029001863929,0.126125849779784,0.873874150220217,0.13142036946875,0.86857963053125,0.130758090517392,0.869241909482608
45,0.140842752088823,0.859157247911177,0.140143635585851,0.859856364414148,0.154666111982041,0.845333888017959,0.154759485306575,0.845240514693425,0.161321531047229,0.838678468952771,0.160962182738598,0.839037817261402
55,0.167337495606276,0.832662504393724,0.167659530377079,0.832340469622921,0.183634489771978,0.816365510228022,0.185338969270258,0.814661030729742,0.191441260309145,0.808558739690855,0.191309931821112,0.808690068178888
65,0.189897568827495,0.810102431172505,0.189170497751838,0.810829502248162,0.206233431697319,0.793766568302681,0.206788625373663,0.793211374626337,0.21472239941247,0.78527760058753,0.213984322879016,0.786015677120984
75,0.230209683677119,0.769790316322881,0.230394226176453,0.769605773823547,0.250739340214411,0.749260659785589,0.250967713823763,0.749032286176237,0.259699248299832,0.740300751700168,0.260106717301918,0.739893282698082
85,0.295900411676548,0.704099588323452,0.294166333126074,0.705833666873926,0.318366493579136,0.681633506420864,0.316962695354437,0.683037304645563,0.328266380883609,0.671733619116391,0.327316433321841,0.672683566678159
95,0.40913609521137,0.59086390478863,0.409339450929888,0.590660549070112,0.435543395437066,0.564456604562934,0.436482957283696,0.563517042716304,0.446421507029907,0.553578492970093,0.448036314975584,0.551963685024416
