Year,bsei_ref_heat_old,bsei_ref_heat_new,bsei_ref_cool_old,bsei_ref_cool_new,bsei_int_heat_old,bsei_int_heat_new,bsei_int_cool_old,bsei_int_cool_new,bsei_opt_heat_old,bsei_opt_heat_new,bsei_opt_cool_old,bsei_opt_cool_new
2013,0.96421,0.98799,0.98167,1.0415,0.96421,0.98799,0.98167,1.0415,0.96421,0.98799,0.98167,1.0415
2014,0.9585,0.99953,0.97989,1.0534,0.9585,0.99953,0.97989,1.0534,0.9585,0.99953,0.97989,1.0534
2015,0.95352,0.9857,0.97854,1.0503,0.95352,0.9857,0.97854,1.0503,0.95352,0.9857,0.97854,1.0503
2016,0.94931,0.92895,0.97749,1.0223,0.94931,0.92895,0.97749,1.0223,0.94931,0.92895,0.97749,1.0223
2017,0.94393,0.90785,0.97581,1.008,0.78473,0.36973,0.91491,0.40514,0.74457,0.093284,0.89962,0.10156
2018,0.93797,0.90419,0.97365,1.0065,0.75813,0.36847,0.90509,0.40471,0.71284,0.092999,0.88785,0.10148
2019,0.93164,0.91016,0.9714,1.0098,0.73145,0.37095,0.89524,0.40608,0.68109,0.093635,0.87606,0.10183
2020,0.9253,0.91297,0.96924,1.0115,0.70498,0.3724,0.88547,0.40681,0.6496,0.094019,0.86439,0.10202
2021,0.91894,0.91557,0.96709,1.0136,0.67854,0.37351,0.8757,0.40768,0.61803,0.094308,0.85267,0.10224
2022,0.91269,0.91598,0.965,1.0145,0.65219,0.37367,0.86596,0.40807,0.58649,0.094357,0.84095,0.10234
2023,0.90653,0.91517,0.96294,1.0144,0.62582,0.37335,0.85621,0.40804,0.55498,0.094296,0.82924,0.10234
2024,0.90047,0.91474,0.96091,1.0143,0.59944,0.37318,0.84646,0.40804,0.52347,0.094268,0.81752,0.10235
2025,0.8944,0.91349,0.95889,1.0138,0.57308,0.37272,0.83671,0.40787,0.49196,0.09417,0.8058,0.10231
2026,0.88799,0.91242,0.95678,1.013,0.54675,0.37242,0.82696,0.40759,0.46046,0.094112,0.79407,0.10225
2027,0.88159,0.91449,0.95465,1.0138,0.52018,0.37334,0.81717,0.40793,0.42904,0.094361,0.78238,0.10234
2028,0.87535,0.91841,0.95257,1.0159,0.49381,0.37498,0.80744,0.40879,0.39773,0.094778,0.77074,0.10255
2029,0.8692,0.91921,0.95052,1.0164,0.46757,0.37539,0.79777,0.409,0.36624,0.094893,0.75909,0.10261
2030,0.86313,0.91906,0.94849,1.0162,0.44146,0.37543,0.78812,0.40891,0.33493,0.094919,0.74748,0.10259
2031,0.85703,0.91964,0.94646,1.0165,0.41524,0.37575,0.77843,0.40908,0.30365,0.095016,0.73588,0.10264
2032,0.85071,0.9234,0.94422,1.0189,0.39065,0.37728,0.76851,0.41004,0.2722,0.095406,0.72403,0.10288
2033,0.84444,0.92409,0.94199,1.0197,0.36651,0.37762,0.75864,0.41037,0.24295,0.0955,0.7122,0.10296
2034,0.83816,0.92082,0.93976,1.0183,0.34276,0.3764,0.74877,0.40984,0.21396,0.095209,0.70035,0.10283
2035,0.83176,0.91761,0.93749,1.017,0.32275,0.37525,0.73888,0.40938,0.18695,0.094937,0.68847,0.10272
2036,0.82532,0.91506,0.93518,1.0161,0.30305,0.37434,0.72896,0.40908,0.16313,0.094726,0.6766,0.10265
2037,0.81895,0.91341,0.9329,1.0157,0.28338,0.37376,0.71905,0.40893,0.13943,0.094593,0.66476,0.10262
2038,0.81265,0.91126,0.93064,1.0152,0.26373,0.37297,0.70916,0.40877,0.11578,0.094408,0.65294,0.10258
2039,0.80626,0.90843,0.92837,1.0143,0.24411,0.37199,0.69926,0.40848,0.092146,0.094179,0.64112,0.10252
2040,0.7999,0.90705,0.9261,1.0136,0.22997,0.37154,0.68936,0.40823,0.076737,0.094082,0.62931,0.10246
2041,0.79363,0.9045,0.92387,1.0125,0.22045,0.37063,0.6795,0.40781,0.065427,0.09387,0.61753,0.10236
2042,0.78736,0.90409,0.92163,1.0126,0.21133,0.37058,0.66966,0.40788,0.054555,0.093866,0.60576,0.10238
2043,0.78105,0.90204,0.91938,1.0116,0.20281,0.36992,0.65981,0.40752,0.050216,0.093719,0.59402,0.1023
2044,0.77468,0.89869,0.91711,1.0096,0.2,0.36878,0.64994,0.40681,0.05,0.093457,0.58227,0.10213
2045,0.76825,0.8949,0.91482,1.0073,0.2,0.36751,0.64006,0.40595,0.05,0.093167,0.57051,0.10192
2046,0.76181,0.89218,0.91252,1.0058,0.2,0.36665,0.63018,0.40541,0.05,0.092971,0.55873,0.10179
2047,0.75537,0.89058,0.91022,1.005,0.2,0.36623,0.6203,0.40515,0.05,0.092884,0.54694,0.10174
2048,0.74893,0.88952,0.90793,1.0046,0.2,0.36602,0.61042,0.40503,0.05,0.092852,0.53516,0.10171
2049,0.74248,0.88902,0.90564,1.0047,0.2,0.36605,0.60054,0.40508,0.05,0.092875,0.5234,0.10173
2050,0.73604,0.8876,0.90335,1.0042,0.2,0.36571,0.59068,0.40492,0.05,0.092808,0.51164,0.10169
